Level,Time,NodeName,PodNamespace,PodName,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 11:04:18.771,hostnode,sn,user-mention-service-77b4dc8db6-qqb2p,5da702aa-5da1-48a1-a861-a28a962145a8,4294975121,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sa,feedback-inference-2-867b854976-qrcmg,63ea3062-c44d-4786-b84c-d210df45b2f8,4294975793,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,mongodb-rate-78677645d4-4v2h5,66c8e931-7fa3-448a-8822-0b2db155e788,4294976633,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sa,feedback-inference-1-6b858c77b9-99c4j,6a98d5b2-6ae0-4348-ba84-d32a8010d14b,4294975625,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,media-frontend-6bd9df9d6d-5vf4w,6be52f8a-5cf7-4c4d-a9cf-b851c52694e7,4294975077,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,media-memcached-657c8b4cdf-4cc9x,6d187294-14f3-4f11-b66b-6f178abedac4,4294974743,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,monitoring,alertmanager-monitoring-kube-prometheus-alertmanager-0,70957292-81e5-4ffe-b8ad-b44e4de4b326,4295080817,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,media-service-68f5f7ccbf-ks945,76c3a8df-aede-4a5f-b8bd-e74ce509a7e6,4294975331,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,home-timeline-redis-698c8bc65d-4c45h,79688f0b-7ab6-4f35-8438-aec8c8300d03,4294974827,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sa,feedback-inference-7-8f6cf7999-f5qn4,7aa819af-f314-4532-a0f4-c5e2a11fc6ef,4294975835,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,monitoring,monitoring-grafana-67776b6b66-sxl62,7bda2edc-62de-4b78-aa7c-8a99331d9370,4295080355,0.01,0.0080,,,0.0080,1,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,default,feedback-inference-5c9b57cc5f-mpxx5,7d6b10a5-b07a-4b60-8c9d-7d0462b491f0,4294975709,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,selling-resource-scheduler-7cc89db49c-ns9jm,894845d8-cc58-483b-bbf2-260807dd8e81,4294974127,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sa,feedback-inference-5-596d5b64b9-sw9t7,898a0bea-057b-41e9-bedf-78eae2237e12,4294975667,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,default,fuzzy-proof-1,8adacebd-6468-43f9-bad1-e7258d23d25b,4294977053,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,mongodb-profile-57b898f69-869rl,8c3bade4-b9e1-44f3-bdaa-e8f9a77e60b6,4294976339,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,mongodb-geo-5cf4479bd9-4tflp,8c63a64e-3582-4fa5-a1a2-9d52222005c7,4294976213,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,metrics-server-7fbfbcc44c-57twc,8e0cbdb2-8b37-43d7-bd2e-e7bc88f71486,4294974340,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,default,fuzzy-proof-5,95708664-be88-4490-ba1e-7092ec6ba570,4294977011,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,coredns-5ddd84546d-cscpm,957aa029-5b70-4fcf-bf3e-194e127920be,4294974221,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,url-shorten-service-5576f95bc-dlkwp,970ae5df-45da-47b3-9c77-f2aaf6297dd0,4294975415,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,default,fuzzy-proof-3,9bb793d0-cf0f-4e92-ab39-a1f6b2a25f81,4294976927,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,ksense,collector-name-sample,9f3d30b5-8cbf-41cc-bc8d-b5d893e029dc,4295117360,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
