Time,FrictionSigned,Energy,CPUUtil,PSI,Score
2026-02-18 09:13:53,0.000000,0.000000,16.576297,2.665249,100.000
2026-02-18 09:14:19,43.366167,46.492710,2.480620,0.112034,55.625
2026-02-18 09:15:42,0.376384,0.142413,12.684825,2.189982,18.029
2026-02-18 09:15:59,0.235606,0.132633,18.054475,1.232616,17.884
2026-02-18 09:16:09,0.397981,0.128796,19.392523,1.033479,18.052
2026-02-18 09:16:19,0.530292,0.170893,5.964369,0.153043,18.190
2026-02-18 09:16:29,0.237439,0.216257,6.805878,0.088017,17.886
2026-02-18 09:16:39,0.494071,0.136510,15.438324,0.563916,18.152
2026-02-18 09:16:49,0.368062,0.154555,10.644911,0.496911,18.020
2026-02-18 09:16:59,-0.282559,0.157462,4.095827,0.024102,17.429
2026-02-18 09:17:09,-0.225378,0.148830,3.018576,0.036784,17.472
2026-02-18 09:17:19,0.439393,0.182569,11.248074,0.577690,18.095
