Time,FrictionSigned,Energy,CPUUtil,PSI,Score
2026-02-18 09:13:23,0.000000,0.000000,0.000000,0.000000,100.000
2026-02-18 09:13:24,0.000000,0.000000,9.788567,38.999244,100.000
2026-02-18 09:13:25,0.000000,0.000000,12.720307,0.846143,100.000
2026-02-18 09:13:26,0.000000,0.000000,3.855050,0.200359,100.000
2026-02-18 09:13:27,0.000000,0.000000,3.869969,0.246998,100.000
2026-02-18 09:13:28,0.000000,0.000000,3.320463,0.122937,100.000
2026-02-18 09:13:29,0.000000,0.000000,2.013943,0.036220,100.000
2026-02-18 09:13:30,0.000000,0.000000,2.554180,0.135055,100.000
2026-02-18 09:13:31,0.000000,0.000000,2.163833,0.299153,100.000
2026-02-18 09:13:32,0.000000,0.000000,4.640371,0.604592,100.000
2026-02-18 09:13:33,0.000000,0.000000,8.821233,0.539319,100.000
2026-02-18 09:13:34,0.000000,0.000000,3.541186,0.035312,100.000
2026-02-18 09:13:35,0.000000,0.000000,2.713178,0.171552,100.000
2026-02-18 09:13:36,0.000000,0.000000,10.772834,0.174846,100.000
2026-02-18 09:13:37,0.000000,0.000000,3.025601,0.099885,100.000
2026-02-18 09:13:38,0.000000,0.000000,2.702703,0.055603,100.000
2026-02-18 09:13:39,0.000000,0.000000,3.016241,0.105391,100.000
2026-02-18 09:13:40,0.000000,0.000000,2.168861,0.026999,100.000
2026-02-18 09:13:41,0.000000,0.000000,2.089783,0.096318,100.000
2026-02-18 09:13:42,0.000000,0.000000,5.658915,0.499753,100.000
2026-02-18 09:13:43,0.000000,0.000000,17.601246,1.112337,100.000
2026-02-18 09:13:44,0.000000,0.000000,10.538462,1.506225,100.000
2026-02-18 09:13:45,0.000000,0.000000,3.190661,0.151859,100.000
2026-02-18 09:13:46,0.000000,0.000000,4.555985,0.052385,100.000
2026-02-18 09:13:47,0.000000,0.000000,3.023256,0.078723,100.000
2026-02-18 09:13:48,0.000000,0.000000,3.011583,0.032283,100.000
2026-02-18 09:13:49,0.000000,0.000000,6.206362,0.069364,100.000
