Level,Time,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 10:40:09.799,76c3a8df-aede-4a5f-b8bd-e74ce509a7e6,4294975331,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,79688f0b-7ab6-4f35-8438-aec8c8300d03,4294974827,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,7aa819af-f314-4532-a0f4-c5e2a11fc6ef,4294975835,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,7bda2edc-62de-4b78-aa7c-8a99331d9370,4295080355,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,7d6b10a5-b07a-4b60-8c9d-7d0462b491f0,4294975709,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,894845d8-cc58-483b-bbf2-260807dd8e81,4294974127,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,898a0bea-057b-41e9-bedf-78eae2237e12,4294975667,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,8adacebd-6468-43f9-bad1-e7258d23d25b,4294977053,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,8c3bade4-b9e1-44f3-bdaa-e8f9a77e60b6,4294976339,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,8c63a64e-3582-4fa5-a1a2-9d52222005c7,4294976213,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,8e0cbdb2-8b37-43d7-bd2e-e7bc88f71486,4294974340,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,95708664-be88-4490-ba1e-7092ec6ba570,4294977011,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,957aa029-5b70-4fcf-bf3e-194e127920be,4294974221,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,970ae5df-45da-47b3-9c77-f2aaf6297dd0,4294975415,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
