Time,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI,BaselineMode,BaselineSamples,Friction,Direction,dF_dt,Energy,Energy_W,Energy_Vol,Energy_kFactor
2026-02-17 13:29:41.860,341.73,0.0175,0.0150,0.0150,3.4640,19573,0,41.89,45,14.10,492,3.224696,0.205217,CALIBRATING,28,,,,,40,0.000000,1.000000
2026-02-17 13:29:42.860,380.21,0.0169,0.0150,0.0150,3.7760,22460,0,74.44,265,31.34,886,2.712020,0.258267,CALIBRATING,29,,,,,40,0.000000,1.000000
2026-02-17 13:29:43.860,387.40,0.0145,0.0150,0.0150,3.0120,26790,1,23.95,43,14.70,476,2.824989,0.291004,CALIBRATING,30,,,,,40,0.000000,1.000000
2026-02-17 13:29:44.860,357.58,0.0188,0.0150,0.0150,4.0070,18998,0,42.31,47,18.41,598,2.305310,0.279417,CALIBRATING,31,,,,,40,0.000000,1.000000
2026-02-17 13:29:45.860,343.43,0.0173,0.0150,0.0150,3.4760,19873,0,33.90,150,21.76,792,2.168675,0.251803,CALIBRATING,32,,,,,40,0.000000,1.000000
2026-02-17 13:29:46.860,420.10,0.0156,0.0150,0.0150,7.3100,26852,0,51.39,54,28.09,577,3.182811,0.389526,CALIBRATING,33,,,,,40,0.000000,1.000000
2026-02-17 13:29:47.860,342.83,0.0179,0.0150,0.0150,3.0150,19131,0,36.25,56,37.96,638,2.406877,0.228592,CALIBRATING,34,,,,,40,0.000000,1.000000
2026-02-17 13:29:48.860,360.02,0.0190,0.0150,0.0150,3.0280,18975,0,27.33,130,40.58,817,2.997244,0.257113,CALIBRATING,35,,,,,40,0.000000,1.000000
2026-02-17 13:29:49.860,367.69,0.0199,0.0150,0.0150,4.5370,18500,0,33.92,45,21.43,637,2.202593,0.293424,CALIBRATING,36,,,,,40,0.000000,1.000000
2026-02-17 13:29:50.860,335.52,0.0182,0.0150,0.0150,3.6290,18465,1,44.57,74,13.16,477,2.157695,0.230968,CALIBRATING,37,,,,,40,0.000000,1.000000
2026-02-17 13:29:51.860,338.10,0.0191,0.0150,0.0150,3.3600,17687,0,44.62,138,13.80,575,2.019043,0.221495,CALIBRATING,38,,,,,40,0.000000,1.000000
2026-02-17 13:29:52.860,553.92,0.0207,0.0150,0.0150,65.0340,26725,0,47.02,42,20.96,633,3.261743,0.766891,CALIBRATING,39,,,,,40,0.000000,1.000000
2026-02-17 13:29:53.860,375.45,0.0151,0.0150,0.0150,3.0140,24824,0,26.99,21,19.29,523,3.076923,0.249096,CALIBRATING,40,,,,,40,0.000000,1.000000
2026-02-17 13:29:54.860,2453.82,0.1264,0.0150,0.0150,198.2180,19407,0,45.78,169,16.08,707,2.569986,13.209921,CALIBRATING,41,,,,,40,0.000000,1.000000
2026-02-17 13:29:55.860,1719.80,0.0841,0.0150,0.0150,97.1190,20451,0,40.44,80,27.68,709,2.594421,1.526064,CALIBRATING,42,,,,,40,0.000000,1.000000
2026-02-17 13:29:56.860,3405.96,0.1843,0.0150,0.0150,99.8300,18485,0,78.73,107,12.95,467,3.129657,19.051878,CALIBRATING,43,,,,,40,0.000000,1.000000
2026-02-17 13:29:57.860,361.79,0.0170,0.0150,0.0150,4.0190,21227,1,40.27,175,27.28,824,2.378764,0.245834,CALIBRATING,44,,,,,40,0.000000,1.000000
2026-02-17 13:29:58.860,331.47,0.0182,0.0150,0.0150,3.9990,18229,0,20.89,25,19.02,548,2.086677,0.260775,CALIBRATING,45,,,,,40,0.000000,1.000000
2026-02-17 13:29:59.860,867.04,0.0500,0.0150,0.0150,99.6080,17334,0,25.84,20,16.40,457,2.029584,8.427707,CALIBRATING,46,,,,,40,0.000000,1.000000
2026-02-17 13:30:00.860,2268.10,0.1096,0.0150,0.0150,99.8070,20699,1,87.51,152,19.18,745,2.582052,6.712338,CALIBRATING,47,,,,,40,0.000000,1.000000
2026-02-17 13:30:01.860,360.25,0.0201,0.0150,0.0150,4.0560,17897,0,26.60,34,27.16,530,2.800413,0.263996,CALIBRATING,48,,,,,40,0.000000,1.000000
2026-02-17 13:30:02.860,360.75,0.0172,0.0150,0.0150,4.0170,20958,1,57.40,80,35.66,688,2.180149,0.256797,CALIBRATING,49,,,,,40,0.000000,1.000000
2026-02-17 13:30:03.860,439.48,0.0171,0.0150,0.0150,10.2000,25667,0,54.16,134,39.55,774,3.298471,0.371909,CALIBRATING,50,,,,,40,0.000000,1.000000
2026-02-17 13:30:04.860,356.07,0.0183,0.0150,0.0150,4.6530,19412,1,47.78,63,20.52,690,2.180399,0.241601,CALIBRATING,51,,,,,40,0.000000,1.000000
2026-02-17 13:30:05.860,367.14,0.0189,0.0150,0.0150,4.0000,19392,0,32.49,58,19.12,611,2.342135,0.259078,CALIBRATING,52,,,,,40,0.000000,1.000000
2026-02-17 13:30:06.860,373.06,0.0195,0.0150,0.0150,4.0040,19156,0,97.92,225,17.47,709,5.190033,0.344120,CALIBRATING,53,,,,,40,0.000000,1.000000
